Order ID,Order Date,Customer ID,Customer Name,Region,State,Category,Product Name,Quantity,Unit Price,Sales,Profit,Payment Method,Order Status,Salesperson
ORD00052,11-02-2026,CUST1074,Michele Foster,East,Gujarat,Home & Kitchen,Cookware,3,47902,143706,38411.48,Credit Card,Shipped,Michelle
ORD00053,20-03-2025,CUST0352,James Reed,West,Rajasthan,Electronics,Smart Watch,2,31718,63436,14252.44,Credit Card,Returned,Olivia
ORD00054,24-05-2026,CUST0023,Jordan Pierce,West,Maharashtra,Electronics,Headphones,5,39034,195170,19230.07,Net Banking,Returned,Stephanie
ORD00055,12-05-2026,CUST1428,Mary Anderson,East,Delhi,Home & Kitchen,Chair,5,22672,113360,29162.86,Debit Card,Cancelled,Joy
ORD00056,17-04-2025,CUST1233,Javier Benson,South,Delhi,Fashion,Shoes,2,36116,72232,18729.23,Cash on Delivery,Returned,Shelly
ORD00057,25-03-2026,CUST0169,Richard Lewis,North,Karnataka,Home & Kitchen,Table,4,37924,151696,16215.5,Credit Card,Returned,David
ORD00058,11-12-2025,CUST2781,Kevin Griffin,North,Tamil Nadu,Beauty,Skincare,3,1530,4590,595.27,Credit Card,Delivered,Peter
ORD00059,06-10-2025,CUST2830,Roy Bolton,West,Delhi,Fashion,Jeans,3,21910,65730,7943.07,Cash on Delivery,Returned,Nathan
ORD00060,30-06-2025,CUST0745,Sean Jenkins,West,Rajasthan,Fashion,Jacket,3,7675,23025,1595.56,Debit Card,Shipped,Austin
ORD00061,30-09-2025,CUST0638,James Henry,South,Tamil Nadu,Beauty,Hair Dryer,5,41989,209945,25278.81,Net Banking,Shipped,Stephanie
ORD00062,27-05-2025,CUST1481,Kathryn Chan,North,Karnataka,Fashion,Shirt,5,43941,219705,24416.34,Cash on Delivery,Returned,Timothy
ORD00063,02-03-2025,CUST1719,Richard Hendrix,North,Rajasthan,Home & Kitchen,Table,1,13750,13750,3632.91,Net Banking,Shipped,Brandi
ORD00064,06-04-2025,CUST2790,Duane Smith,East,Karnataka,Electronics,Smart Watch,4,5924,23696,4575.08,Credit Card,Shipped,Alexandria
ORD00065,28-02-2025,CUST2212,Kristen Diaz,South,Gujarat,Fashion,Shirt,1,8299,8299,1301.27,Debit Card,Cancelled,Pamela
ORD00066,23-05-2026,CUST2489,Christine Carroll,West,Karnataka,Home & Kitchen,Table,2,26106,52212,8383.75,Credit Card,Returned,Brandon
ORD00067,01-11-2025,CUST0629,Richard Williams,West,Gujarat,Electronics,Smart Watch,5,14950,74750,10981.29,Credit Card,Delivered,Maria
ORD00068,30-05-2025,CUST2324,Steven Collins,West,Tamil Nadu,Fashion,Jeans,5,22903,114515,20321.55,UPI,Cancelled,Brianna
ORD00069,10-12-2025,CUST1410,April Lam,East,Karnataka,Home & Kitchen,Table,1,15835,15835,2737.83,Credit Card,Returned,Tracy
ORD00070,28-07-2025,CUST2351,Brian Lewis,South,Gujarat,Beauty,Makeup,3,30014,90042,10234.64,Cash on Delivery,Delivered,Jennifer
ORD00071,04-01-2025,CUST1948,Mr. Andrew Silva,West,Delhi,Home & Kitchen,Cookware,4,49259,197036,15412.96,Cash on Delivery,Returned,Brian
ORD00072,25-02-2026,CUST1363,Stephanie Curtis,North,Delhi,Home & Kitchen,Table,3,30754,92262,14542.96,Cash on Delivery,Delivered,David
ORD00073,19-08-2025,CUST2509,Pamela Adams,West,Tamil Nadu,Home & Kitchen,Table,5,40362,201810,18353.3,Debit Card,Cancelled,Jack
ORD00074,10-12-2025,CUST0324,Ryan Miranda,West,Karnataka,Fashion,Shoes,2,18579,37158,7218.82,Cash on Delivery,Delivered,Kimberly
ORD00075,17-07-2025,CUST1522,Joshua Barrett,West,Rajasthan,Beauty,Makeup,4,20056,80224,21367.11,UPI,Returned,Ariel
ORD00076,22-07-2025,CUST0544,Stephanie Reese DVM,West,Maharashtra,Beauty,Makeup,4,4278,17112,2480.5,Debit Card,Returned,Patricia
ORD00077,11-01-2026,CUST0532,Edwin Williams,West,Maharashtra,Beauty,Makeup,3,47682,143046,18285.95,UPI,Cancelled,Jennifer
ORD00078,22-02-2025,CUST0790,Erica Schmidt,South,Delhi,Home & Kitchen,Chair,3,46762,140286,21773.28,Debit Card,Shipped,Clifford
ORD00079,03-11-2025,CUST1315,Nicholas Moore,West,Gujarat,Beauty,Perfume,4,18816,75264,11810.02,Cash on Delivery,Cancelled,Aaron
ORD00080,02-10-2025,CUST2952,Tyler Evans,West,Delhi,Fashion,Shirt,5,18568,92840,7731.13,UPI,Delivered,John
ORD00081,03-06-2026,CUST0578,David Swanson,North,Rajasthan,Fashion,Jacket,5,1712,8560,439.03,Net Banking,Delivered,Valerie
ORD00082,14-03-2026,CUST2469,Nicholas Willis,East,Gujarat,Fashion,Jacket,4,47259,189036,56056.06,UPI,Returned,Ethan
ORD00083,22-04-2026,CUST1181,Dylan Young,North,Karnataka,Beauty,Skincare,2,32698,65396,4370.5,Debit Card,Shipped,Jeremy
ORD00084,03-03-2026,CUST1126,Benjamin Miller,South,Gujarat,Beauty,Makeup,4,12614,50456,11384.44,Cash on Delivery,Shipped,Anthony
ORD00085,06-02-2026,CUST2706,Suzanne Fox,North,Gujarat,Beauty,Makeup,5,28004,140020,26823.42,Debit Card,Shipped,Jeremiah
ORD00086,02-01-2026,CUST2222,Kathy Hunter,North,Rajasthan,Home & Kitchen,Table,1,49204,49204,10606.91,Debit Card,Delivered,Melinda
ORD00087,09-06-2026,CUST1547,Mrs. Daisy Scott,East,Delhi,Beauty,Perfume,1,25593,25593,5105.54,Credit Card,Cancelled,Sara
ORD00088,28-07-2025,CUST2725,John Nguyen,South,Maharashtra,Fashion,Jacket,3,49340,148020,8616.63,UPI,Delivered,Stephanie
ORD00089,27-08-2025,CUST0568,Mr. Bryan Shaffer,North,Maharashtra,Electronics,Laptop,4,12634,50536,6339.2,Net Banking,Cancelled,Linda
ORD00090,06-05-2026,CUST0002,Wyatt Moore,South,Rajasthan,Electronics,Headphones,2,31869,63738,18373.88,Cash on Delivery,Cancelled,Joseph
ORD00091,23-05-2026,CUST2188,Sydney Bean,South,Rajasthan,Home & Kitchen,Mixer,2,18190,36380,10552.71,Debit Card,Delivered,Christian
ORD00092,23-02-2025,CUST1919,Amber Mullen,North,Karnataka,Beauty,Skincare,5,28685,143425,9865.44,UPI,Delivered,Angela
ORD00093,29-03-2026,CUST2150,Richard Jones,West,Gujarat,Electronics,Headphones,3,8349,25047,2916.44,Credit Card,Returned,Alexandra
ORD00094,17-05-2025,CUST0089,Teresa Clarke,South,Gujarat,Beauty,Skincare,1,3561,3561,182.07,Credit Card,Returned,Kevin
ORD00095,19-04-2025,CUST2670,John Woods,North,Karnataka,Home & Kitchen,Cookware,4,45407,181628,45614.03,Credit Card,Cancelled,Victoria
ORD00096,13-04-2025,CUST1855,Jeffrey Johnston,East,Tamil Nadu,Fashion,Shirt,1,45706,45706,5681.04,Net Banking,Shipped,Lisa
ORD00097,25-05-2025,CUST2430,Jennifer Hale,North,Rajasthan,Home & Kitchen,Chair,5,27415,137075,28708.86,Net Banking,Delivered,Amanda
ORD00098,29-03-2026,CUST0398,Danielle Tate,West,Delhi,Beauty,Hair Dryer,4,32578,130312,37735.45,Cash on Delivery,Delivered,Patricia
ORD00099,28-04-2026,CUST2282,Dr. Lori Flynn,East,Rajasthan,Beauty,Makeup,2,36364,72728,10930.52,Net Banking,Cancelled,Frank
ORD00100,06-09-2025,CUST2532,Alexis Hernandez,East,Gujarat,Home & Kitchen,Table,2,44411,88822,16866.23,UPI,Shipped,Jo
ORD00101,27-07-2025,CUST0016,David Smith,North,Gujarat,Beauty,Hair Dryer,1,8519,8519,822.57,Net Banking,Delivered,Damon
ORD00102,26-09-2025,CUST0778,Mark Johnson,East,Rajasthan,Home & Kitchen,Chair,1,16163,16163,3330.82,Net Banking,Returned,Gregory
ORD00103,22-01-2026,CUST2869,Stephanie Lee MD,South,Tamil Nadu,Electronics,Smart Watch,5,27805,139025,16143.99,Debit Card,Returned,Daniel
ORD00104,05-12-2025,CUST1909,David Dunn,North,Maharashtra,Electronics,Headphones,1,49435,49435,4219.27,Debit Card,Shipped,Elizabeth
ORD00105,09-11-2025,CUST1001,Carolyn Harmon,North,Maharashtra,Fashion,Jeans,4,6613,26452,5027.01,Net Banking,Cancelled,Carrie
ORD00106,13-01-2025,CUST2479,Jodi Cannon,West,Tamil Nadu,Home & Kitchen,Cookware,5,40616,203080,35548.51,Credit Card,Cancelled,Brian
ORD00107,08-02-2026,CUST2829,Russell Taylor,South,Delhi,Beauty,Hair Dryer,5,20673,103365,11210.51,Debit Card,Returned,Justin
ORD00108,05-01-2025,CUST0632,James Williams,West,Gujarat,Electronics,Mobile,3,4826,14478,1059.01,Debit Card,Cancelled,Heather
ORD00109,04-10-2025,CUST2494,Timothy Wright,West,Karnataka,Home & Kitchen,Cookware,4,38823,155292,34409.33,UPI,Returned,Donald
ORD00110,14-05-2026,CUST0258,Cynthia Maddox,South,Delhi,Home & Kitchen,Chair,4,3548,14192,2026.17,Debit Card,Shipped,Melanie
ORD00111,17-12-2025,CUST1945,Erika Moore,West,Karnataka,Home & Kitchen,Chair,2,15015,30030,7185.41,UPI,Returned,Meagan
ORD00112,12-03-2025,CUST0362,Wyatt Soto,East,Maharashtra,Fashion,Shirt,2,28805,57610,5643.82,Cash on Delivery,Shipped,Christopher
ORD00113,10-04-2026,CUST2376,Brandon Boyd,West,Karnataka,Fashion,Jeans,3,13760,41280,3217.03,UPI,Delivered,Penny
ORD00114,17-08-2025,CUST2397,Sarah Werner,North,Karnataka,Beauty,Makeup,3,19852,59556,6458.82,Net Banking,Returned,Jonathan
ORD00115,29-04-2026,CUST1999,Kimberly Wilson,South,Gujarat,Beauty,Hair Dryer,5,10659,53295,3113.18,Cash on Delivery,Returned,Juan
ORD00116,22-01-2026,CUST2614,Larry Pace,South,Gujarat,Beauty,Skincare,3,5864,17592,4251.46,UPI,Returned,Kristi
ORD00117,28-07-2025,CUST2189,Lisa Herrera,West,Tamil Nadu,Fashion,Shoes,3,37510,112530,7573.33,UPI,Returned,Travis
ORD00118,06-10-2025,CUST0415,Melanie Ochoa,East,Maharashtra,Fashion,Shoes,5,36381,181905,20494.09,Credit Card,Returned,Mario
ORD00119,30-05-2025,CUST2731,Yolanda Miller,East,Tamil Nadu,Home & Kitchen,Mixer,5,41462,207310,47029.26,Debit Card,Returned,Elizabeth
ORD00120,07-04-2026,CUST1694,Michelle Edwards,East,Maharashtra,Electronics,Mobile,2,38634,77268,6517.96,Credit Card,Cancelled,William
ORD00121,21-03-2025,CUST1826,Dominique Fox,South,Rajasthan,Beauty,Makeup,1,18646,18646,2777.44,Net Banking,Delivered,Debra
ORD00122,09-01-2025,CUST1893,Mark Moran,East,Karnataka,Fashion,Jacket,2,14538,29076,2272.68,UPI,Returned,Wayne
ORD00123,17-03-2025,CUST2013,Tiffany Pham,North,Tamil Nadu,Beauty,Perfume,3,9380,28140,2110.64,UPI,Cancelled,Gary
ORD00124,13-02-2026,CUST1325,Christopher Watkins,South,Karnataka,Electronics,Laptop,5,1545,7725,797.97,Credit Card,Delivered,Tammy
ORD00125,24-02-2025,CUST2045,Marie Bautista,East,Maharashtra,Fashion,Jeans,5,8782,43910,6016.09,UPI,Cancelled,Katherine
ORD00126,05-04-2026,CUST0412,Nichole Curry,North,Delhi,Fashion,Shirt,4,44768,179072,12650.35,Credit Card,Delivered,Laurie
ORD00127,10-06-2025,CUST2073,Dakota Reyes,East,Maharashtra,Fashion,Jacket,2,24471,48942,4454.4,UPI,Shipped,Todd
ORD00128,24-08-2025,CUST1506,Michelle Miles,South,Karnataka,Electronics,Laptop,3,46757,140271,40612.47,Debit Card,Cancelled,Crystal
ORD00129,12-04-2025,CUST1843,Gregory Robertson,North,Maharashtra,Home & Kitchen,Cookware,1,20315,20315,3848.97,Net Banking,Returned,David
ORD00130,25-05-2025,CUST1350,Anthony Berry,South,Tamil Nadu,Electronics,Headphones,1,11398,11398,1854.53,Debit Card,Shipped,Carol
ORD00131,12-09-2025,CUST0195,Jaime Jenkins,South,Tamil Nadu,Home & Kitchen,Table,4,22113,88452,11980.35,Cash on Delivery,Cancelled,Christina
ORD00132,25-02-2026,CUST2942,Jennifer Jones MD,East,Karnataka,Home & Kitchen,Chair,1,3661,3661,1017.52,Cash on Delivery,Delivered,John
ORD00133,12-05-2026,CUST0418,Bruce Perkins,East,Karnataka,Electronics,Smart Watch,2,563,1126,210.25,UPI,Delivered,Mary
ORD00134,29-07-2025,CUST0010,Kathryn Allen,South,Delhi,Fashion,Shoes,5,38861,194305,28222.92,Debit Card,Returned,Rachael
ORD00135,09-01-2025,CUST1313,Richard Trevino,North,Delhi,Home & Kitchen,Mixer,5,29269,146345,35215.89,Debit Card,Shipped,Wendy
ORD00136,09-04-2025,CUST2650,Claudia Hernandez,South,Karnataka,Beauty,Makeup,3,28860,86580,22135.96,Net Banking,Shipped,Jennifer
ORD00137,17-03-2026,CUST0848,Kelly Sanchez,South,Maharashtra,Home & Kitchen,Chair,3,22253,66759,11449.25,Debit Card,Delivered,Eric
ORD00138,20-04-2026,CUST0562,Paul Mason,South,Delhi,Electronics,Laptop,3,3718,11154,3275.71,Cash on Delivery,Shipped,Joseph
ORD00139,30-12-2025,CUST1076,Elizabeth Harrison,West,Karnataka,Fashion,Jacket,2,40938,81876,11240.03,Debit Card,Returned,Aaron
ORD00140,19-03-2025,CUST1911,Jessica Perez,East,Maharashtra,Fashion,Jeans,1,13120,13120,1491.65,Net Banking,Returned,Michelle
ORD00141,09-01-2025,CUST0283,Stephanie Coffey,South,Karnataka,Fashion,Jeans,5,40040,200200,21733.9,Debit Card,Shipped,Miguel
ORD00142,29-04-2025,CUST2424,Richard Brown,South,Delhi,Fashion,Shirt,3,14557,43671,7975,Cash on Delivery,Shipped,Heather
ORD00143,21-09-2025,CUST1545,Jason Long,East,Delhi,Home & Kitchen,Table,1,37246,37246,11160.44,Debit Card,Cancelled,Tony
ORD00144,03-04-2025,CUST2277,Samantha Brooks,South,Tamil Nadu,Home & Kitchen,Cookware,4,39105,156420,41550.73,Net Banking,Returned,Kevin
ORD00145,15-03-2026,CUST0413,Renee Thompson,North,Delhi,Home & Kitchen,Cookware,3,2350,7050,471.89,Net Banking,Cancelled,April
ORD00146,27-05-2026,CUST2428,Crystal Smith,East,Rajasthan,Home & Kitchen,Table,4,27070,108280,8465.51,Cash on Delivery,Delivered,Benjamin
ORD00147,08-06-2025,CUST1685,Christopher Gibson,East,Rajasthan,Electronics,Smart Watch,5,39253,196265,32594.63,UPI,Cancelled,William
ORD00148,22-03-2026,CUST1362,Traci Clark,South,Delhi,Fashion,Jacket,2,10638,21276,4915.79,Debit Card,Returned,Richard
ORD00149,04-05-2025,CUST0547,Mark James,South,Karnataka,Beauty,Makeup,2,34671,69342,12847.82,Credit Card,Shipped,John
ORD00150,07-01-2026,CUST2616,Michael Mays,South,Delhi,Home & Kitchen,Cookware,5,42504,212520,33499.75,Debit Card,Delivered,Brianna
ORD00151,09-03-2026,CUST2865,Ana Castillo,West,Tamil Nadu,Fashion,Shoes,5,16755,83775,21332.34,Net Banking,Delivered,Stephanie
ORD00152,11-03-2025,CUST0250,Jesse Jones,West,Gujarat,Fashion,Jacket,2,31097,62194,7838.09,Debit Card,Returned,Susan
ORD00153,08-08-2025,CUST1632,Lauren Cummings,South,Karnataka,Home & Kitchen,Table,2,15024,30048,3604.63,Cash on Delivery,Cancelled,Angelica
ORD00154,04-02-2025,CUST1710,David Hartman,South,Maharashtra,Beauty,Perfume,1,28779,28779,5253.51,Credit Card,Cancelled,Jill
ORD00155,14-02-2025,CUST0745,Stacey Cooper,North,Delhi,Beauty,Perfume,3,40806,122418,13441.55,Credit Card,Shipped,Brian
ORD00156,17-02-2026,CUST0099,Lisa Dominguez,North,Karnataka,Electronics,Headphones,2,1779,3558,921.41,Net Banking,Shipped,William
ORD00157,13-05-2026,CUST2379,Brittney Aguilar,West,Tamil Nadu,Electronics,Laptop,4,43110,172440,42537.24,Credit Card,Returned,Tonya
ORD00158,13-11-2025,CUST0817,Alicia Wilkins,North,Rajasthan,Electronics,Mobile,2,33835,67670,18787.58,Cash on Delivery,Cancelled,Catherine
ORD00159,24-01-2025,CUST2554,Christopher Nixon,North,Gujarat,Electronics,Headphones,5,30912,154560,23511.98,Debit Card,Shipped,Gary
ORD00160,29-12-2025,CUST0756,Samantha Aguilar,West,Delhi,Beauty,Hair Dryer,4,24869,99476,22820.78,Net Banking,Cancelled,Christopher
ORD00161,19-06-2026,CUST2771,Kellie Fitzgerald,South,Gujarat,Home & Kitchen,Table,3,26999,80997,8306.32,Debit Card,Shipped,Christopher
ORD00162,15-11-2025,CUST0195,Robert Thomas DDS,East,Gujarat,Fashion,Jeans,2,39636,79272,21058.7,Net Banking,Shipped,Jesse
ORD00163,03-02-2025,CUST0920,Katherine Weaver,West,Gujarat,Home & Kitchen,Chair,3,24116,72348,16682.63,UPI,Shipped,Heather
ORD00164,04-03-2026,CUST0480,Paula Thomas,North,Maharashtra,Home & Kitchen,Mixer,3,6722,20166,3746.77,Credit Card,Shipped,Kathryn
ORD00165,06-12-2025,CUST0354,Emily Dawson,North,Maharashtra,Electronics,Laptop,1,40229,40229,11842.71,Cash on Delivery,Delivered,Shannon
ORD00166,27-12-2025,CUST0665,Morgan Baker,East,Rajasthan,Home & Kitchen,Chair,2,44840,89680,15058.67,Cash on Delivery,Delivered,Hayden
ORD00167,19-05-2026,CUST0131,David Walton,North,Gujarat,Beauty,Makeup,3,12324,36972,8896.59,Credit Card,Returned,Jessica
ORD00168,20-05-2026,CUST2523,Hunter Rose,North,Delhi,Fashion,Shirt,3,44021,132063,22850.84,Debit Card,Delivered,Yolanda
ORD00169,13-01-2026,CUST0288,Rebecca Harvey,North,Tamil Nadu,Home & Kitchen,Chair,4,49269,197076,25105.38,UPI,Returned,Chad
ORD00170,28-04-2025,CUST0922,Edward Kennedy,South,Tamil Nadu,Home & Kitchen,Table,1,20278,20278,2460.45,Credit Card,Shipped,Luis
ORD00171,01-11-2025,CUST1686,Jessica Ross,West,Delhi,Home & Kitchen,Cookware,3,278,834,141.69,Debit Card,Returned,Jessica
ORD00172,11-03-2025,CUST0900,Stacie Ortiz,West,Karnataka,Home & Kitchen,Cookware,4,36141,144564,32594.91,Debit Card,Returned,Kelli
ORD00173,22-06-2025,CUST0697,Kathleen Brown,West,Tamil Nadu,Fashion,Jeans,2,14073,28146,6553.99,Net Banking,Returned,Joseph
ORD00174,20-11-2025,CUST0644,Jamie Nielsen,North,Tamil Nadu,Beauty,Skincare,5,42311,211555,34599.17,UPI,Delivered,Danny
ORD00175,13-10-2025,CUST0338,Wendy Tucker,North,Karnataka,Beauty,Skincare,5,4736,23680,3897.22,Credit Card,Delivered,Richard
ORD00176,11-03-2025,CUST0169,Brian Martin,North,Karnataka,Home & Kitchen,Mixer,2,48630,97260,11501.46,Credit Card,Shipped,Joshua
ORD00177,18-02-2026,CUST2232,Keith Thompson,North,Karnataka,Home & Kitchen,Cookware,3,46719,140157,35088.29,Credit Card,Cancelled,Travis
ORD00178,09-09-2025,CUST1548,Daniel Edwards,North,Delhi,Fashion,Shoes,2,47723,95446,21141.19,Cash on Delivery,Shipped,Cynthia
ORD00179,23-04-2026,CUST0262,Glenda Joseph,South,Delhi,Electronics,Laptop,1,29321,29321,3596.8,Cash on Delivery,Delivered,Luke
ORD00180,20-02-2025,CUST1633,Kathleen Martinez,North,Delhi,Home & Kitchen,Table,3,19368,58104,15966.17,Cash on Delivery,Shipped,Dawn
ORD00181,07-09-2025,CUST2924,Benjamin Burns,South,Delhi,Electronics,Smart Watch,1,22114,22114,3192.28,Credit Card,Cancelled,Mary
ORD00182,19-11-2025,CUST0528,Dillon Glover,West,Maharashtra,Beauty,Skincare,5,16272,81360,18939.85,Cash on Delivery,Returned,Stephen
